order_id,customer_id,restaurant_id,order_date,order_hour,is_weekend,cuisine,order_value,delivery_fee,discount,promo_code,distance_km,traffic_condition,driver_id,delivery_time_min,delivery_rating,weather,status
O000063,C01409,R0193,2024-10-02,21,0,Chinese,192,35,0,NONE,4.14,Low,D0244,40.0,1.0,Rain,Delivered
O000064,C04534,R0655,2024-09-22,21,1,North Indian,456,56,0,NONE,7.09,Low,D0347,65.0,2.0,Clear,Delivered
O000065,C02913,R0769,2024-01-13,22,1,Chinese,208,27,21,SAVE50,3.49,Heavy,D0007,37.0,3.0,Clear,Delivered
O000066,C04525,R0439,2024-11-25,19,0,North Indian,126,15,0,NONE,2.56,Heavy,D0097,52.0,2.0,Rain,Delivered
O000067,C00098,R0166,2024-10-21,2,0,South Indian,224,17,22,SAVE50,1.49,Moderate,D0583,23.0,3.0,Clear,Delivered
O000068,C04782,R0506,2024-10-24,9,0,Burgers,260,37,0,NONE,5.41,Moderate,D0329,47.0,3.0,Clear,Delivered
O000069,C04323,R0594,2024-10-29,12,0,Chinese,245,58,0,NONE,7.63,Heavy,D0068,65.0,1.0,Rain,Delivered
O000070,C04376,R0794,2024-08-05,13,0,North Indian,223,19,0,NONE,1.45,Heavy,D0472,35.0,4.0,Clear,Delivered
O000071,C02757,R0356,2024-12-29,13,1,North Indian,482,25,96,WELCOME20,1.74,Heavy,D0001,33.0,3.0,Clear,Delivered
O000072,C03743,R0560,2024-03-08,11,0,South Indian,79,26,16,WELCOME20,1.8,Low,D0224,44.0,3.0,Rain,Delivered
O000073,C03379,R0075,2024-01-28,11,1,North Indian,344,28,0,NONE,1.62,Moderate,D0098,43.0,1.0,Rain,Delivered
O000074,C03544,R0377,2024-09-20,22,0,Rolls & Wraps,79,35,0,NONE,3.87,Heavy,D0420,45.0,2.0,Clear,Delivered
O000075,C03919,R0452,2024-04-20,8,1,North Indian,139,31,0,NONE,3.82,Low,D0066,41.0,3.0,Clear,Delivered
O000076,C04331,R0007,2024-08-15,3,0,Chinese,169,26,0,NONE,0.88,Moderate,D0316,23.0,3.0,Clear,Delivered
O000077,C02408,R0133,2024-05-26,5,1,South Indian,84,43,0,NONE,4.56,Moderate,D0590,39.0,3.0,Clear,Delivered
O000078,C04198,R0030,2024-05-04,18,1,Italian,108,24,0,NONE,2.53,Moderate,D0380,38.0,3.0,Clear,Delivered
O000079,C03529,R0065,2024-11-30,12,1,North Indian,180,26,0,NONE,6.32,Low,D0500,54.0,2.0,Clear,Delivered
O000080,C00877,R0224,2024-02-23,16,0,Desserts,117,21,0,NONE,0.78,Moderate,D0191,26.0,3.0,Clear,Delivered
O000081,C02725,R0411,2024-03-11,15,0,South Indian,79,25,0,NONE,4.01,Low,D0178,37.0,3.0,Rain,Delivered
O000082,C03188,R0064,2024-09-06,21,0,North Indian,167,31,0,NONE,4.67,Low,D0448,61.0,2.0,Rain,Delivered
O000083,C01046,R0445,2024-10-19,10,1,North Indian,79,25,0,NONE,4.69,Low,D0042,53.0,1.0,Rain,Delivered
O000084,C00711,R0421,2024-11-07,13,0,Desserts,186,37,37,WELCOME20,7.62,Heavy,D0141,74.0,1.0,Rain,Delivered
O000085,C03562,R0236,2024-03-27,19,0,North Indian,347,37,0,NONE,6.34,Low,D0054,58.0,2.0,Clear,Delivered
O000086,C01625,R0581,2024-11-25,17,0,South Indian,334,24,33,FEST10,2.13,Moderate,D0208,23.0,5.0,Clear,Delivered
O000087,C02892,R0130,2024-08-16,18,0,Biryani,82,33,16,WELCOME20,3.07,Low,D0068,35.0,4.0,Clear,Delivered
O000088,C02885,R0301,2024-11-03,15,1,Italian,208,28,21,FEST10,2.53,Low,D0297,32.0,2.0,Clear,Delivered
O000089,C03421,R0295,2024-01-27,20,1,Chinese,186,32,0,NONE,6.15,Low,D0454,67.0,1.0,Rain,Delivered
O000090,C04029,R0070,2024-05-13,9,0,Biryani,330,30,0,NONE,6.18,Moderate,D0530,40.0,2.0,Clear,Delivered
O000091,C04019,R0002,2024-07-15,22,0,North Indian,346,16,35,FEST10,2.23,Moderate,D0562,36.0,3.0,Clear,Delivered
O000092,C04949,R0203,2024-08-03,11,1,Korean,316,57,32,FEST10,12.28,Low,D0088,59.0,1.0,Clear,Delivered
O000093,C00420,R0166,2024-02-07,11,0,Burgers,176,41,0,NONE,4.15,Low,D0404,30.0,3.0,Clear,Delivered
O000094,C02873,R0438,2024-07-20,12,1,North Indian,86,26,0,NONE,2.3,Low,D0358,28.0,4.0,Clear,Delivered
O000095,C04407,R0057,2024-09-05,20,0,North Indian,519,32,0,NONE,4.82,Low,D0403,54.0,2.0,Clear,Delivered
O000096,C00485,R0037,2024-05-15,18,0,Italian,157,35,0,NONE,4.44,Moderate,D0354,38.0,3.0,Rain,Delivered
O000097,C04503,R0211,2024-07-06,8,1,Chinese,84,15,0,NONE,1.82,Low,D0350,27.0,4.0,Clear,Delivered
O000098,C04836,R0030,2024-04-19,21,0,Burgers,199,49,0,NONE,9.51,Moderate,D0473,68.0,1.0,Clear,Delivered
O000099,C00411,R0021,2024-11-21,23,0,South Indian,174,19,0,NONE,2.21,Low,D0313,19.0,4.0,Clear,Delivered
O000100,C01085,R0797,2024-08-11,16,1,South Indian,159,56,0,NONE,14.0,Heavy,D0243,72.0,3.0,Clear,Delivered
O000101,C01518,R0753,2024-07-25,4,0,Italian,409,38,0,NONE,3.58,Low,D0450,25.0,4.0,Clear,Delivered
O000102,C00235,R0785,2024-12-15,17,1,Pizza,225,18,0,NONE,1.12,Moderate,D0456,31.0,4.0,Clear,Delivered
O000103,C04226,R0024,2024-09-05,18,0,Mexican,175,57,0,NONE,9.89,Moderate,D0490,55.0,1.0,Clear,Delivered
O000104,C04791,R0590,2024-04-14,11,1,Biryani,197,18,39,WELCOME20,1.54,Low,,,,Clear,Cancelled
O000105,C03852,R0539,2024-08-27,6,0,Chinese,172,24,0,NONE,1.69,Low,D0268,19.0,5.0,Clear,Delivered
O000106,C00263,R0594,2024-12-20,16,0,Chinese,243,50,0,NONE,14.0,Low,D0119,74.0,1.0,Rain,Delivered
O000107,C03705,R0058,2024-01-09,21,0,Chinese,271,31,0,NONE,3.48,Heavy,D0069,38.0,1.0,Clear,Delivered
O000108,C00048,R0420,2024-08-22,12,0,Burgers,178,38,18,SAVE50,3.69,Heavy,D0102,35.0,4.0,Clear,Delivered
O000109,C01246,R0452,2024-02-28,13,0,Chinese,91,37,0,NONE,4.22,Low,D0304,50.0,3.0,Clear,Delivered
O000110,C02261,R0127,2024-11-01,21,0,Cafe,101,41,0,NONE,3.23,Moderate,D0521,39.0,2.0,Clear,Delivered
O000111,C03550,R0541,2024-08-27,18,0,North Indian,140,20,28,WELCOME20,2.49,Low,,,,Clear,Cancelled
O000112,C02737,R0186,2024-12-13,18,0,Korean,166,42,0,NONE,5.73,Moderate,D0479,41.0,2.0,Clear,Delivered
O000113,C04386,R0311,2024-09-07,13,1,Rolls & Wraps,79,29,0,NONE,3.37,Low,D0121,42.0,3.0,Clear,Delivered
O000114,C01135,R0761,2024-01-07,22,1,Cafe,79,49,0,NONE,14.0,Heavy,D0577,95.0,1.0,Clear,Delivered
O000115,C00911,R0470,2024-07-09,19,0,South Indian,490,22,0,NONE,2.7,Low,D0349,33.0,3.0,Clear,Delivered
O000116,C01619,R0077,2024-12-03,8,0,Rolls & Wraps,100,29,10,SAVE50,2.57,Low,D0437,30.0,3.0,Clear,Delivered
O000117,C04919,R0034,2024-03-28,7,0,Healthy,113,26,11,SAVE50,0.73,Moderate,D0060,15.0,4.0,Clear,Delivered
O000118,C04901,R0232,2024-02-01,18,0,Chinese,118,15,24,WELCOME20,1.93,Moderate,D0544,27.0,4.0,Clear,Delivered
O000119,C04641,R0092,2024-09-26,12,0,Rolls & Wraps,90,40,0,NONE,7.63,Low,D0163,63.0,3.0,Clear,Delivered
O000120,C01477,R0341,2024-07-06,8,1,Burgers,231,60,0,NONE,14.0,Low,D0031,73.0,1.0,Clear,Delivered
O000121,C04995,R0753,2024-01-19,20,0,Biryani,178,33,0,NONE,4.1,Moderate,D0484,36.0,4.0,Clear,Delivered
O000122,C03458,R0760,2024-04-14,21,1,Korean,98,64,0,NONE,13.75,Heavy,D0174,93.0,1.0,Clear,Delivered
O000123,C01774,R0386,2024-05-02,15,0,Biryani,187,34,37,WELCOME20,4.64,Moderate,D0112,31.0,2.0,Clear,Delivered
O000124,C03063,R0243,2024-09-06,13,0,Chinese,268,38,27,SAVE50,10.16,Heavy,D0410,82.0,1.0,Clear,Delivered
O000125,C01261,R0305,2024-06-25,9,0,South Indian,203,25,20,SAVE50,6.1,Moderate,D0536,31.0,4.0,Clear,Delivered
O000126,C00580,R0743,2024-07-01,19,0,Desserts,391,41,0,NONE,14.0,Heavy,D0195,89.0,1.0,Clear,Delivered
O000127,C01943,R0701,2024-10-28,1,0,Italian,370,29,37,FEST10,1.4,Low,D0163,26.0,5.0,Clear,Delivered
O000128,C01539,R0556,2024-04-14,19,1,Seafood,126,30,0,NONE,5.0,Heavy,D0349,77.0,2.0,Rain,Delivered
O000129,C03941,R0134,2024-09-08,22,1,Chinese,267,19,53,WELCOME20,2.85,Heavy,D0578,36.0,3.0,Clear,Delivered
O000130,C02035,R0647,2024-05-17,14,0,Chinese,361,22,36,SAVE50,1.79,Heavy,D0191,27.0,4.0,Clear,Delivered
O000131,C01330,R0525,2024-06-05,19,0,Mexican,193,26,19,SAVE50,0.78,Heavy,D0534,40.0,2.0,Clear,Delivered
O000132,C03141,R0551,2024-07-27,7,1,Italian,90,25,0,NONE,4.18,Moderate,D0588,45.0,3.0,Rain,Delivered
O000133,C03441,R0633,2024-09-16,13,0,Italian,171,28,0,NONE,2.86,Low,D0323,26.0,5.0,Clear,Delivered
O000134,C04434,R0010,2024-12-15,15,1,Biryani,216,40,22,FEST10,4.7,Low,D0520,34.0,4.0,Clear,Delivered
O000135,C04855,R0232,2024-04-10,19,0,North Indian,100,21,10,FEST10,1.05,Low,D0164,31.0,4.0,Clear,Delivered
O000136,C03059,R0157,2024-02-09,13,0,Chinese,169,40,17,SAVE50,3.35,Heavy,D0585,42.0,3.0,Rain,Delivered
O000137,C02834,R0556,2024-06-09,19,1,Rolls & Wraps,160,36,16,FEST10,5.0,Low,D0331,60.0,4.0,Clear,Delivered
O000138,C02265,R0091,2024-07-23,19,0,Rolls & Wraps,203,44,0,NONE,4.82,Heavy,D0301,49.0,4.0,Clear,Delivered
O000139,C00156,R0791,2024-03-26,10,0,Seafood,187,24,37,WELCOME20,0.73,Low,D0281,29.0,4.0,Clear,Delivered
O000140,C04032,R0012,2024-11-29,20,0,Pizza,205,25,0,NONE,4.6,Low,D0233,38.0,3.0,Clear,Delivered
O000141,C01240,R0624,2024-10-25,19,0,Rolls & Wraps,240,16,0,NONE,2.37,Low,D0141,29.0,4.0,Clear,Delivered
O000142,C00083,R0593,2024-07-03,23,0,North Indian,91,27,0,NONE,1.93,Heavy,,,,Clear,Cancelled
O000143,C04922,R0757,2024-06-17,20,0,Healthy,98,21,10,SAVE50,2.86,Low,D0539,49.0,4.0,Clear,Delivered
O000144,C03935,R0325,2024-01-16,20,0,South Indian,128,32,0,NONE,5.92,Heavy,D0198,54.0,3.0,Clear,Delivered
O000145,C03636,R0541,2024-07-20,3,1,North Indian,266,27,0,NONE,1.59,Moderate,D0501,26.0,3.0,Clear,Delivered
O000146,C02909,R0627,2024-08-10,14,1,North Indian,119,19,0,NONE,1.51,Heavy,D0065,37.0,3.0,Clear,Delivered
O000147,C00293,R0759,2024-11-29,13,0,Italian,259,33,26,FEST10,3.08,Heavy,D0450,34.0,3.0,Clear,Delivered
O000148,C04054,R0496,2024-07-06,20,1,Healthy,136,29,27,WELCOME20,3.99,Heavy,D0450,42.0,2.0,Clear,Delivered
O000149,C03311,R0114,2024-02-29,19,0,Mexican,362,16,72,WELCOME20,1.72,Heavy,D0490,39.0,2.0,Clear,Delivered
O000150,C04157,R0411,2024-03-08,17,0,Rolls & Wraps,79,21,16,WELCOME20,2.21,Heavy,D0038,26.0,3.0,Clear,Delivered
O000151,C02962,R0757,2024-03-01,13,0,Seafood,102,42,20,WELCOME20,10.27,Low,D0397,77.0,1.0,Clear,Delivered
O000152,C00056,R0533,2024-12-13,8,0,South Indian,116,19,23,WELCOME20,2.54,Low,D0086,22.0,1.0,Clear,Delivered
O000153,C01899,R0608,2024-10-23,13,0,Seafood,169,19,17,SAVE50,2.41,Low,D0249,31.0,3.0,Clear,Delivered
O000154,C04477,R0586,2024-11-04,18,0,Biryani,196,53,20,SAVE50,10.79,Moderate,D0312,48.0,3.0,Clear,Delivered
O000155,C03131,R0446,2024-11-10,12,1,Chinese,114,27,23,WELCOME20,2.93,Heavy,D0470,47.0,2.0,Rain,Delivered
O000156,C04205,R0539,2024-02-05,9,0,North Indian,121,18,12,SAVE50,2.57,Low,,,,Clear,Cancelled
O000157,C04761,R0037,2024-09-19,2,0,Continental,150,26,0,NONE,0.54,Low,D0557,18.0,5.0,Clear,Delivered
O000158,C03535,R0160,2024-09-20,21,0,North Indian,186,37,37,WELCOME20,3.91,Heavy,,,,Clear,Cancelled
O000159,C02224,R0266,2024-03-24,12,1,South Indian,120,39,0,NONE,5.1,Heavy,D0216,50.0,3.0,Clear,Delivered
O000160,C01643,R0751,2024-07-02,21,0,Mexican,79,19,0,NONE,0.55,Low,,,,Clear,Cancelled
O000161,C03767,R0497,2024-09-04,4,0,North Indian,156,20,16,SAVE50,1.51,Low,D0549,28.0,3.0,Clear,Delivered
O000162,C00424,R0619,2024-12-01,14,1,Rolls & Wraps,265,27,0,NONE,1.05,Moderate,D0065,22.0,4.0,Clear,Delivered
O000163,C00452,R0443,2024-02-11,16,1,Pizza,339,49,0,NONE,14.0,Low,D0105,69.0,2.0,Clear,Delivered
O000164,C01877,R0417,2024-11-29,14,0,Rolls & Wraps,260,18,0,NONE,2.63,Heavy,D0179,37.0,3.0,Clear,Delivered
O000165,C02683,R0115,2024-12-08,8,1,Continental,169,16,0,NONE,1.56,Low,D0538,21.0,4.0,Clear,Delivered
O000166,C01219,R0622,2024-12-08,21,1,North Indian,261,26,0,NONE,3.78,Heavy,D0551,30.0,3.0,Clear,Delivered
O000167,C03810,R0303,2024-01-02,21,0,Rolls & Wraps,381,37,76,WELCOME20,5.68,Heavy,D0544,63.0,3.0,Rain,Delivered
O000168,C02735,R0332,2024-03-23,20,1,Continental,93,20,0,NONE,1.7,Low,D0093,28.0,4.0,Clear,Delivered
O000169,C02326,R0396,2024-09-15,8,1,North Indian,373,43,0,NONE,7.45,Heavy,D0117,49.0,3.0,Clear,Delivered
O000170,C02432,R0110,2024-04-30,12,0,South Indian,214,47,21,SAVE50,14.0,Low,D0497,86.0,2.0,Clear,Delivered
O000171,C02543,R0082,2024-01-24,12,0,Mexican,192,39,0,NONE,5.35,Heavy,D0256,37.0,5.0,Clear,Delivered
O000172,C02974,R0614,2024-10-12,22,1,Italian,146,28,0,NONE,2.94,Heavy,D0383,35.0,4.0,Clear,Delivered
O000173,C01941,R0086,2024-01-12,20,0,Rolls & Wraps,160,44,16,FEST10,11.18,Heavy,D0139,84.0,1.0,Clear,Delivered
O000174,C00784,R0730,2024-06-15,14,1,South Indian,156,20,16,SAVE50,0.9,Heavy,D0030,28.0,5.0,Clear,Delivered
O000175,C02822,R0680,2024-12-16,16,0,Chinese,96,15,0,NONE,1.93,Heavy,D0431,23.0,5.0,Clear,Delivered
O000176,C02178,R0202,2024-06-13,20,0,Korean,161,35,16,SAVE50,3.4,Heavy,D0543,42.0,3.0,Clear,Delivered
O000177,C02294,R0637,2024-12-05,7,0,Continental,135,39,14,SAVE50,4.29,Low,D0437,30.0,3.0,Clear,Delivered
O000178,C01247,R0017,2024-06-02,14,1,Biryani,96,34,10,SAVE50,6.29,Heavy,D0168,59.0,3.0,Clear,Delivered
O000179,C02159,R0240,2024-05-09,7,0,North Indian,123,20,0,NONE,0.91,Heavy,D0489,18.0,5.0,Clear,Delivered
O000180,C01872,R0201,2024-02-10,21,1,North Indian,171,20,17,SAVE50,2.79,Low,D0563,35.0,3.0,Clear,Delivered
O000181,C00989,R0650,2024-05-13,14,0,Italian,223,43,22,SAVE50,4.37,Low,D0039,31.0,3.0,Clear,Delivered
O000182,C01404,R0444,2024-05-05,11,1,Biryani,173,30,0,NONE,4.81,Heavy,D0020,44.0,4.0,Clear,Delivered
O000183,C03171,R0667,2024-11-12,22,0,South Indian,146,29,0,NONE,5.34,Low,D0358,39.0,3.0,Clear,Delivered
O000184,C01864,R0535,2024-12-08,21,1,Chinese,189,25,0,NONE,1.06,Heavy,D0284,53.0,2.0,Rain,Delivered
O000185,C01315,R0447,2024-01-09,16,0,North Indian,503,24,0,NONE,1.21,Low,D0181,20.0,3.0,Clear,Delivered
O000186,C02099,R0322,2024-02-06,21,0,North Indian,112,36,0,NONE,3.02,Heavy,D0371,49.0,1.0,Clear,Delivered
O000187,C00326,R0795,2024-08-28,11,0,Biryani,79,42,8,FEST10,3.65,Low,D0341,33.0,4.0,Clear,Delivered
O000188,C03997,R0475,2024-06-30,20,1,Pizza,158,24,0,NONE,2.66,Low,D0565,36.0,2.0,Rain,Delivered
O000189,C03256,R0161,2024-04-21,20,1,Biryani,166,41,0,NONE,3.81,Low,D0208,41.0,4.0,Clear,Delivered
O000190,C02035,R0189,2024-04-07,18,1,Biryani,252,43,0,NONE,14.0,Moderate,D0346,73.0,2.0,Clear,Delivered
O000191,C01944,R0438,2024-03-24,14,1,South Indian,79,22,0,NONE,1.04,Moderate,D0423,25.0,4.0,Rain,Delivered
O000192,C00795,R0383,2024-07-15,12,0,Continental,199,27,40,WELCOME20,4.3,Low,D0070,37.0,2.0,Clear,Delivered
O000193,C01424,R0099,2024-01-07,19,1,North Indian,262,25,0,NONE,3.97,Heavy,D0369,54.0,2.0,Rain,Delivered
O000194,C04811,R0584,2024-10-03,13,0,South Indian,149,39,30,WELCOME20,3.08,Heavy,D0002,35.0,3.0,Clear,Delivered
O000195,C02096,R0734,2024-04-22,9,0,Korean,212,28,21,SAVE50,4.98,Heavy,D0537,41.0,3.0,Clear,Delivered
O000196,C03577,R0019,2024-06-08,21,1,Chinese,213,42,0,NONE,5.61,Heavy,D0416,49.0,3.0,Clear,Delivered
O000197,C01421,R0248,2024-07-15,20,0,North Indian,95,39,10,SAVE50,4.04,Heavy,D0050,57.0,3.0,Rain,Delivered
O000198,C02329,R0572,2024-03-20,13,0,Chinese,220,50,0,NONE,10.44,Low,D0201,62.0,3.0,Clear,Delivered
O000199,C00036,R0397,2024-11-26,0,0,Desserts,122,34,12,FEST10,4.26,Moderate,D0104,39.0,4.0,Clear,Delivered
O000200,C04487,R0067,2024-09-12,12,0,Chinese,152,58,0,NONE,9.86,Heavy,D0164,71.0,2.0,Clear,Delivered
O000201,C04671,R0386,2024-11-21,18,0,Italian,182,41,0,NONE,14.0,Moderate,D0120,58.0,2.0,Clear,Delivered
O000202,C00898,R0070,2024-06-26,19,0,Mexican,213,32,0,NONE,4.34,Heavy,D0337,42.0,3.0,Clear,Delivered
O000203,C02992,R0581,2024-06-10,14,0,North Indian,330,16,66,WELCOME20,2.61,Heavy,D0279,36.0,4.0,Clear,Delivered
