customer_id,zone,signup_date,loyalty_tier
C00062,HSR Layout,2023-01-06,Silver
C00063,Jayanagar,2024-09-12,Bronze
C00064,Rajajinagar,2024-09-13,Bronze
C00065,Electronic City,2023-02-19,Bronze
C00066,Jayanagar,2023-02-03,Silver
C00067,Jayanagar,2024-07-24,Silver
C00068,Whitefield,2024-01-19,Gold
C00069,Koramangala,2023-08-14,Bronze
C00070,HSR Layout,2024-03-24,Silver
C00071,Indiranagar,2023-06-22,Bronze
C00072,HSR Layout,2023-05-25,Silver
C00073,Malleshwaram,2023-09-26,Silver
C00074,Indiranagar,2024-10-15,Bronze
C00075,Koramangala,2024-07-14,Silver
C00076,Whitefield,2023-05-19,Silver
C00077,Whitefield,2024-02-15,Bronze
C00078,Marathahalli,2024-10-07,Bronze
C00079,Jayanagar,2024-11-25,Bronze
C00080,Rajajinagar,2024-07-10,Silver
C00081,Marathahalli,2023-04-05,Bronze
C00082,HSR Layout,2023-06-25,Bronze
C00083,Malleshwaram,2023-06-09,Silver
C00084,Indiranagar,2023-04-21,Gold
C00085,Koramangala,2023-05-08,Silver
C00086,Koramangala,2023-08-19,Silver
C00087,Marathahalli,2024-02-10,Bronze
C00088,HSR Layout,2023-10-18,Bronze
C00089,Indiranagar,2023-11-04,Bronze
C00090,Jayanagar,2023-06-29,Silver
C00091,Koramangala,2023-04-21,Gold
C00092,Marathahalli,2024-12-30,Bronze
C00093,HSR Layout,2024-03-13,Silver
C00094,Whitefield,2023-06-17,Gold
C00095,Whitefield,2024-08-14,Bronze
C00096,Electronic City,2024-08-29,Bronze
C00097,Whitefield,2024-12-06,Bronze
C00098,Koramangala,2023-04-27,Bronze
C00099,Koramangala,2024-04-12,Bronze
C00100,BTM Layout,2024-12-16,Bronze
C00101,Hebbal,2024-08-11,Silver
C00102,Marathahalli,2023-06-14,Bronze
C00103,Indiranagar,2024-10-13,Bronze
C00104,BTM Layout,2023-11-04,Bronze
C00105,Rajajinagar,2023-12-23,Silver
C00106,Marathahalli,2024-02-12,Silver
C00107,HSR Layout,2024-07-17,Silver
C00108,Indiranagar,2023-03-29,Bronze
C00109,Koramangala,2024-01-29,Gold
C00110,Hebbal,2024-08-19,Silver
C00111,HSR Layout,2024-02-05,Bronze
C00112,Indiranagar,2023-07-20,Gold
C00113,Whitefield,2023-02-11,Silver
C00114,Electronic City,2024-02-05,Bronze
C00115,Indiranagar,2024-05-28,Gold
C00116,Malleshwaram,2024-02-06,Gold
C00117,Rajajinagar,2024-12-15,Bronze
C00118,Marathahalli,2024-03-15,Bronze
C00119,HSR Layout,2024-01-07,Silver
C00120,Electronic City,2023-02-10,Gold
C00121,Electronic City,2024-02-12,Bronze
C00122,Electronic City,2023-05-04,Bronze
C00123,Koramangala,2024-06-13,Bronze
C00124,HSR Layout,2023-04-28,Silver
C00125,Koramangala,2024-10-23,Gold
C00126,Jayanagar,2023-08-09,Gold
C00127,Whitefield,2023-11-13,Gold
C00128,Koramangala,2023-04-16,Bronze
C00129,Koramangala,2023-06-03,Bronze
C00130,Electronic City,2024-11-04,Bronze
C00131,Indiranagar,2023-07-27,Bronze
C00132,BTM Layout,2024-01-10,Bronze
C00133,Electronic City,2024-12-17,Silver
C00134,Whitefield,2024-03-31,Bronze
C00135,Electronic City,2023-01-31,Bronze
C00136,Koramangala,2023-09-18,Bronze
C00137,BTM Layout,2023-10-10,Bronze
C00138,HSR Layout,2023-07-21,Bronze
C00139,Rajajinagar,2023-06-26,Silver
C00140,Koramangala,2024-01-03,Bronze
C00141,HSR Layout,2023-10-03,Silver
C00142,Jayanagar,2023-08-03,Bronze
C00143,BTM Layout,2023-10-29,Bronze
C00144,Electronic City,2023-09-08,Bronze
C00145,HSR Layout,2023-06-16,Silver
C00146,Indiranagar,2023-11-27,Silver
C00147,Whitefield,2024-11-18,Bronze
C00148,Jayanagar,2024-01-05,Bronze
C00149,HSR Layout,2024-03-12,Bronze
C00150,Koramangala,2024-12-19,Bronze
C00151,Malleshwaram,2024-03-23,Bronze
C00152,Hebbal,2023-06-13,Bronze
C00153,Koramangala,2023-10-18,Bronze
C00154,Jayanagar,2023-12-23,Bronze
C00155,Koramangala,2023-12-13,Bronze
C00156,Marathahalli,2023-04-20,Silver
C00157,Whitefield,2023-03-19,Silver
C00158,Electronic City,2023-09-13,Bronze
C00159,Marathahalli,2024-10-29,Bronze
C00160,Rajajinagar,2024-06-07,Bronze
C00161,Koramangala,2024-09-06,Bronze
C00162,Hebbal,2023-05-08,Gold
C00163,Indiranagar,2023-10-30,Bronze
C00164,Koramangala,2024-02-29,Silver
C00165,Jayanagar,2023-11-14,Bronze
C00166,Whitefield,2023-11-01,Gold
C00167,Malleshwaram,2023-09-20,Bronze
C00168,Rajajinagar,2023-02-07,Gold
C00169,Whitefield,2024-09-17,Bronze
C00170,BTM Layout,2024-11-12,Silver
C00171,Whitefield,2023-03-01,Bronze
C00172,Jayanagar,2023-10-29,Bronze
C00173,Indiranagar,2024-01-14,Bronze
C00174,BTM Layout,2024-07-26,Bronze
C00175,Indiranagar,2024-12-21,Gold
C00176,Koramangala,2023-10-31,Bronze
C00177,HSR Layout,2024-06-30,Silver
C00178,Yelahanka,2024-11-15,Bronze
C00179,Hebbal,2024-08-29,Bronze
C00180,Marathahalli,2023-08-01,Bronze
C00181,Hebbal,2024-08-19,Bronze
C00182,Hebbal,2023-10-28,Bronze
C00183,Jayanagar,2023-01-13,Silver
C00184,Whitefield,2024-07-07,Gold
C00185,Rajajinagar,2024-09-01,Bronze
C00186,Marathahalli,2023-09-08,Bronze
C00187,Whitefield,2023-11-26,Silver
C00188,Koramangala,2023-09-23,Bronze
C00189,Marathahalli,2023-03-27,Silver
C00190,Indiranagar,2024-12-27,Bronze
C00191,BTM Layout,2023-01-17,Bronze
C00192,Indiranagar,2024-02-10,Silver
C00193,Koramangala,2023-01-11,Silver
C00194,Malleshwaram,2024-05-18,Silver
C00195,Koramangala,2024-10-19,Bronze
C00196,Indiranagar,2024-04-14,Silver
C00197,Electronic City,2024-03-18,Bronze
C00198,Hebbal,2024-08-27,Bronze
C00199,Indiranagar,2024-12-12,Bronze
C00200,Whitefield,2024-09-21,Bronze
C00201,Rajajinagar,2023-06-18,Gold
C00202,Yelahanka,2024-02-16,Gold
C00203,Jayanagar,2024-08-20,Silver
C00204,Koramangala,2023-08-04,Bronze
C00205,Koramangala,2024-05-07,Bronze
C00206,Indiranagar,2023-01-17,Gold
C00207,Koramangala,2024-10-02,Gold
C00208,Marathahalli,2024-03-24,Silver
C00209,Koramangala,2024-06-26,Bronze
C00210,Jayanagar,2024-08-25,Gold
C00211,Marathahalli,2023-06-09,Bronze
C00212,Electronic City,2023-11-25,Gold
C00213,Indiranagar,2024-09-18,Silver
C00214,Rajajinagar,2023-05-01,Gold
C00215,Marathahalli,2024-08-23,Bronze
C00216,Marathahalli,2023-07-30,Bronze
C00217,Koramangala,2024-02-25,Silver
C00218,Koramangala,2024-01-08,Bronze
C00219,BTM Layout,2024-05-16,Gold
C00220,HSR Layout,2024-09-02,Bronze
C00221,Whitefield,2023-09-12,Bronze
C00222,HSR Layout,2023-05-06,Bronze
C00223,Marathahalli,2023-11-05,Silver
C00224,BTM Layout,2024-03-22,Silver
C00225,Whitefield,2024-07-01,Bronze
C00226,BTM Layout,2024-07-03,Silver
C00227,Koramangala,2023-09-06,Silver
C00228,Jayanagar,2024-11-14,Bronze
C00229,Electronic City,2023-03-02,Silver
C00230,Koramangala,2023-03-27,Silver
C00231,Koramangala,2023-01-19,Gold
C00232,HSR Layout,2024-11-07,Bronze
C00233,BTM Layout,2023-05-12,Bronze
C00234,Electronic City,2024-03-15,Gold
C00235,BTM Layout,2024-08-16,Bronze
C00236,Rajajinagar,2024-07-13,Gold
C00237,HSR Layout,2024-11-23,Gold
C00238,Rajajinagar,2023-02-09,Bronze
C00239,Koramangala,2023-10-25,Silver
C00240,Koramangala,2024-01-05,Bronze
C00241,Malleshwaram,2024-05-23,Bronze
C00242,Rajajinagar,2024-03-30,Bronze
C00243,Indiranagar,2024-02-13,Silver
C00244,Jayanagar,2023-08-12,Silver
C00245,Electronic City,2023-03-19,Bronze
C00246,Hebbal,2023-11-12,Silver
C00247,Electronic City,2023-07-09,Bronze
C00248,HSR Layout,2024-02-09,Bronze
C00249,Whitefield,2024-08-04,Gold
C00250,HSR Layout,2024-02-08,Gold
C00251,Electronic City,2024-03-01,Bronze
C00252,Hebbal,2023-01-31,Silver
C00253,HSR Layout,2024-04-15,Bronze
C00254,Indiranagar,2023-11-17,Bronze
C00255,Indiranagar,2023-04-01,Bronze
C00256,Marathahalli,2023-06-06,Bronze
C00257,Malleshwaram,2024-07-23,Bronze
C00258,Koramangala,2024-10-31,Silver
C00259,Koramangala,2024-01-06,Bronze
C00260,Electronic City,2024-12-13,Gold
C00261,Koramangala,2023-05-12,Bronze
C00262,Malleshwaram,2023-08-07,Bronze
C00263,Whitefield,2024-11-09,Bronze
C00264,Koramangala,2023-05-08,Bronze
C00265,BTM Layout,2024-04-26,Gold
C00266,Indiranagar,2023-06-10,Bronze
C00267,Whitefield,2023-08-30,Bronze
C00268,Koramangala,2023-12-15,Bronze
C00269,Koramangala,2023-09-20,Bronze
C00270,Koramangala,2024-09-30,Bronze
C00271,Koramangala,2024-12-11,Gold
C00272,Indiranagar,2024-01-01,Bronze
C00273,Koramangala,2024-01-19,Bronze
C00274,Electronic City,2023-02-10,Bronze
C00275,Marathahalli,2023-06-20,Gold
C00276,HSR Layout,2023-01-30,Bronze
C00277,Whitefield,2024-09-17,Gold
C00278,Jayanagar,2023-06-15,Silver
C00279,Hebbal,2023-09-06,Bronze
C00280,Malleshwaram,2024-09-07,Bronze
C00281,Koramangala,2024-06-04,Silver
C00282,Indiranagar,2024-03-29,Bronze
C00283,Indiranagar,2023-01-29,Bronze
C00284,Indiranagar,2024-02-15,Bronze
C00285,Electronic City,2024-02-14,Bronze
C00286,HSR Layout,2023-08-21,Silver
C00287,Koramangala,2024-06-27,Bronze
C00288,Whitefield,2024-11-09,Bronze
C00289,Jayanagar,2023-07-09,Bronze
C00290,Koramangala,2023-08-30,Bronze
C00291,Malleshwaram,2023-08-24,Bronze
C00292,Koramangala,2024-09-01,Bronze
C00293,BTM Layout,2023-02-26,Silver
C00294,Koramangala,2024-10-16,Bronze
C00295,Malleshwaram,2024-07-19,Silver
C00296,Hebbal,2023-12-19,Gold
C00297,Yelahanka,2024-03-01,Gold
C00298,Rajajinagar,2024-10-14,Bronze
C00299,Rajajinagar,2024-07-15,Silver
C00300,Electronic City,2023-07-22,Bronze
C00301,Rajajinagar,2023-02-06,Silver
C00302,Koramangala,2024-04-25,Bronze
C00303,Jayanagar,2023-04-17,Bronze
C00304,Jayanagar,2023-03-06,Bronze
C00305,Malleshwaram,2024-12-18,Silver
C00306,HSR Layout,2023-12-12,Silver
C00307,Whitefield,2024-04-20,Gold
C00308,Electronic City,2023-06-08,Gold
C00309,Indiranagar,2023-03-16,Bronze
C00310,Koramangala,2023-02-15,Bronze
C00311,HSR Layout,2023-09-16,Bronze
C00312,HSR Layout,2023-01-03,Silver
C00313,Indiranagar,2023-11-03,Silver
C00314,Whitefield,2023-08-26,Bronze
C00315,Whitefield,2024-01-20,Silver
C00316,Whitefield,2024-03-06,Gold
C00317,Whitefield,2023-08-14,Silver
C00318,Marathahalli,2023-11-29,Bronze
C00319,Whitefield,2023-02-27,Silver
C00320,BTM Layout,2023-08-09,Silver
C00321,Hebbal,2024-12-15,Bronze
C00322,HSR Layout,2024-12-24,Bronze
C00323,Whitefield,2023-12-21,Gold
C00324,Jayanagar,2024-11-16,Silver
C00325,Malleshwaram,2024-01-01,Bronze
C00326,Electronic City,2023-04-02,Bronze
C00327,Rajajinagar,2024-09-25,Bronze
C00328,Jayanagar,2023-10-31,Bronze
C00329,Electronic City,2024-03-23,Silver
C00330,Whitefield,2024-04-18,Bronze
C00331,Marathahalli,2023-08-13,Silver
C00332,Indiranagar,2024-06-19,Bronze
C00333,Marathahalli,2024-01-01,Bronze
C00334,Hebbal,2023-09-25,Bronze
C00335,Koramangala,2023-08-06,Silver
C00336,Electronic City,2024-06-28,Bronze
C00337,Koramangala,2023-07-02,Gold
C00338,Marathahalli,2023-04-01,Bronze
C00339,Koramangala,2024-10-05,Bronze
C00340,BTM Layout,2023-08-31,Gold
C00341,Koramangala,2024-04-12,Bronze
C00342,BTM Layout,2024-06-06,Silver
C00343,Rajajinagar,2024-09-03,Bronze
C00344,Electronic City,2024-04-01,Bronze
C00345,Rajajinagar,2024-05-31,Silver
C00346,Rajajinagar,2024-09-03,Bronze
C00347,BTM Layout,2024-11-19,Bronze
C00348,Indiranagar,2023-02-04,Bronze
C00349,Electronic City,2024-06-26,Bronze
C00350,Koramangala,2023-05-08,Gold
C00351,Electronic City,2024-10-12,Bronze
C00352,Indiranagar,2023-02-05,Bronze
C00353,Jayanagar,2023-06-30,Gold
C00354,Electronic City,2023-05-21,Gold
C00355,HSR Layout,2024-03-16,Silver
C00356,Jayanagar,2023-01-04,Bronze
C00357,Rajajinagar,2023-01-13,Silver
C00358,Rajajinagar,2024-01-04,Silver
C00359,Jayanagar,2024-12-10,Bronze
C00360,Electronic City,2024-01-21,Bronze
C00361,BTM Layout,2023-11-22,Gold
C00362,Koramangala,2024-04-25,Bronze
C00363,Koramangala,2024-02-07,Gold
C00364,Koramangala,2023-10-08,Silver
C00365,Electronic City,2024-03-05,Bronze
C00366,HSR Layout,2023-01-03,Bronze
C00367,Rajajinagar,2023-06-28,Bronze
C00368,Marathahalli,2024-05-06,Silver
C00369,Whitefield,2023-09-07,Silver
C00370,Hebbal,2023-02-09,Gold
C00371,Rajajinagar,2023-04-01,Silver
C00372,Indiranagar,2024-09-24,Gold
C00373,Whitefield,2023-08-29,Bronze
C00374,Whitefield,2023-01-17,Silver
C00375,Koramangala,2024-06-16,Bronze
C00376,Koramangala,2024-01-23,Bronze
C00377,BTM Layout,2023-11-26,Bronze
C00378,HSR Layout,2024-10-15,Bronze
C00379,Whitefield,2023-08-18,Bronze
C00380,Marathahalli,2024-02-22,Gold
C00381,Jayanagar,2024-06-27,Gold
C00382,BTM Layout,2024-03-20,Bronze
C00383,Rajajinagar,2023-06-01,Bronze
C00384,HSR Layout,2024-05-12,Bronze
C00385,Whitefield,2024-06-26,Bronze
C00386,Yelahanka,2023-03-31,Bronze
C00387,Marathahalli,2023-05-01,Gold
C00388,BTM Layout,2024-05-07,Silver
C00389,Koramangala,2023-03-28,Silver
C00390,Malleshwaram,2024-10-04,Silver
C00391,Electronic City,2023-03-21,Silver
C00392,Koramangala,2024-12-12,Gold
C00393,Electronic City,2024-05-05,Gold
C00394,Marathahalli,2023-11-20,Bronze
C00395,Koramangala,2023-07-15,Bronze
C00396,HSR Layout,2023-09-09,Bronze
C00397,Malleshwaram,2024-06-30,Silver
C00398,Whitefield,2024-07-03,Bronze
C00399,HSR Layout,2023-06-02,Bronze
C00400,HSR Layout,2024-02-01,Silver
C00401,Whitefield,2024-12-25,Bronze
C00402,Hebbal,2023-07-07,Gold
C00403,Rajajinagar,2024-05-21,Silver
C00404,Koramangala,2023-05-06,Silver
C00405,Yelahanka,2024-08-31,Gold
C00406,Hebbal,2023-05-05,Silver
C00407,Whitefield,2023-08-06,Bronze
C00408,Malleshwaram,2023-12-02,Bronze
C00409,Koramangala,2023-09-28,Bronze
C00410,Yelahanka,2023-05-05,Bronze
C00411,Marathahalli,2024-04-12,Silver
C00412,Electronic City,2023-01-15,Bronze
C00413,Koramangala,2024-12-18,Bronze
C00414,Hebbal,2023-02-08,Gold
C00415,Koramangala,2023-09-01,Bronze
C00416,Indiranagar,2024-11-09,Silver
C00417,Koramangala,2023-04-24,Bronze
C00418,Rajajinagar,2023-02-23,Bronze
C00419,Indiranagar,2024-06-27,Bronze
C00420,Hebbal,2023-02-23,Gold
C00421,Electronic City,2024-10-18,Silver
C00422,Koramangala,2023-11-26,Gold
C00423,Koramangala,2024-09-26,Bronze
C00424,Koramangala,2023-06-28,Silver
C00425,Electronic City,2023-04-14,Bronze
C00426,Rajajinagar,2024-12-03,Bronze
C00427,Indiranagar,2024-07-10,Silver
C00428,Malleshwaram,2024-10-27,Gold
C00429,Koramangala,2023-08-22,Bronze
C00430,Rajajinagar,2023-10-23,Bronze
C00431,BTM Layout,2024-02-26,Silver
C00432,Rajajinagar,2023-11-24,Bronze
C00433,Marathahalli,2023-06-27,Silver
C00434,Malleshwaram,2023-10-01,Gold
C00435,Koramangala,2024-03-20,Bronze
C00436,Indiranagar,2023-01-28,Bronze
C00437,Koramangala,2023-09-03,Silver
C00438,Jayanagar,2023-08-02,Silver
C00439,Marathahalli,2023-02-21,Silver
C00440,Electronic City,2023-03-31,Silver
C00441,Malleshwaram,2023-12-28,Bronze
C00442,Koramangala,2023-03-16,Silver
C00443,Marathahalli,2023-09-09,Silver
C00444,Indiranagar,2024-02-14,Silver
C00445,Indiranagar,2024-09-29,Bronze
C00446,Marathahalli,2023-03-14,Silver
C00447,Yelahanka,2023-11-14,Silver
C00448,Electronic City,2023-03-17,Bronze
C00449,Koramangala,2023-11-09,Bronze
C00450,Electronic City,2023-12-17,Bronze
C00451,Koramangala,2024-08-06,Bronze
C00452,Hebbal,2023-11-19,Gold
C00453,Marathahalli,2024-11-13,Bronze
C00454,Indiranagar,2023-04-11,Silver
C00455,Koramangala,2023-02-08,Bronze
C00456,Indiranagar,2023-01-04,Bronze
C00457,Yelahanka,2023-09-18,Bronze
C00458,HSR Layout,2023-05-21,Bronze
C00459,Rajajinagar,2023-03-08,Gold
C00460,Electronic City,2023-06-22,Gold
C00461,Electronic City,2024-12-12,Bronze
C00462,Koramangala,2024-08-07,Bronze
C00463,BTM Layout,2023-01-14,Silver
C00464,Whitefield,2024-10-30,Bronze
C00465,Electronic City,2023-05-30,Bronze
C00466,Marathahalli,2023-10-24,Bronze
C00467,Electronic City,2023-08-28,Bronze
C00468,BTM Layout,2023-10-23,Bronze
C00469,Koramangala,2024-07-09,Silver
C00470,Jayanagar,2024-06-04,Bronze
C00471,HSR Layout,2024-03-09,Bronze
C00472,HSR Layout,2024-04-02,Gold
C00473,Koramangala,2024-06-15,Silver
C00474,Koramangala,2023-05-15,Silver
C00475,Indiranagar,2023-10-16,Gold
C00476,Whitefield,2023-03-20,Bronze
C00477,HSR Layout,2024-05-29,Bronze
C00478,Electronic City,2023-11-16,Gold
C00479,Electronic City,2024-04-10,Bronze
C00480,HSR Layout,2024-02-17,Silver
C00481,HSR Layout,2023-07-19,Bronze
C00482,Indiranagar,2023-04-12,Silver
C00483,Electronic City,2024-12-11,Bronze
C00484,Whitefield,2023-08-03,Silver
C00485,Koramangala,2023-03-21,Silver
C00486,HSR Layout,2023-08-12,Bronze
C00487,HSR Layout,2024-10-20,Silver
C00488,Indiranagar,2023-07-10,Gold
C00489,Electronic City,2024-12-21,Bronze
C00490,Jayanagar,2023-12-03,Bronze
C00491,Marathahalli,2024-09-21,Bronze
C00492,Electronic City,2024-04-21,Silver
C00493,Electronic City,2023-02-02,Silver
C00494,Whitefield,2024-01-07,Bronze
C00495,Rajajinagar,2023-11-01,Bronze
C00496,Jayanagar,2023-05-28,Bronze
C00497,HSR Layout,2024-02-06,Bronze
C00498,Electronic City,2023-03-17,Gold
C00499,Whitefield,2024-05-24,Bronze
C00500,Jayanagar,2024-08-22,Silver
C00501,Marathahalli,2023-03-09,Bronze
C00502,Hebbal,2023-12-16,Gold
C00503,BTM Layout,2024-04-23,Bronze
C00504,Jayanagar,2023-02-15,Bronze
C00505,Jayanagar,2023-10-12,Gold
C00506,Rajajinagar,2023-07-08,Bronze
C00507,Whitefield,2023-01-29,Bronze
C00508,Malleshwaram,2024-08-09,Silver
C00509,Jayanagar,2023-11-21,Gold
C00510,Koramangala,2024-07-02,Bronze
C00511,Koramangala,2024-03-04,Gold
C00512,Malleshwaram,2024-10-01,Gold
C00513,Koramangala,2024-12-28,Bronze
C00514,Whitefield,2024-03-15,Bronze
C00515,Whitefield,2023-09-15,Bronze
C00516,Indiranagar,2023-11-05,Bronze
C00517,Whitefield,2024-08-25,Gold
C00518,Marathahalli,2023-11-08,Bronze
C00519,Koramangala,2024-01-15,Bronze
C00520,Malleshwaram,2023-05-22,Bronze
C00521,Malleshwaram,2024-12-23,Bronze
C00522,Whitefield,2024-04-20,Bronze
C00523,Koramangala,2023-08-30,Bronze
C00524,Electronic City,2024-03-03,Bronze
C00525,Koramangala,2023-10-20,Bronze
C00526,Whitefield,2023-04-24,Silver
C00527,BTM Layout,2024-09-30,Silver
C00528,Yelahanka,2024-10-08,Bronze
C00529,Rajajinagar,2024-09-01,Silver
C00530,Whitefield,2023-09-26,Bronze
C00531,Marathahalli,2023-07-07,Bronze
C00532,Marathahalli,2023-02-06,Silver
C00533,Whitefield,2024-06-18,Gold
C00534,Electronic City,2023-08-28,Bronze
C00535,Koramangala,2024-10-13,Bronze
C00536,Indiranagar,2024-09-26,Bronze
C00537,Jayanagar,2023-04-04,Bronze
C00538,Indiranagar,2024-10-31,Silver
C00539,Indiranagar,2023-04-13,Silver
C00540,Malleshwaram,2023-12-24,Bronze
C00541,Yelahanka,2023-12-12,Bronze
C00542,Jayanagar,2024-11-29,Gold
C00543,Malleshwaram,2024-04-24,Silver
C00544,Yelahanka,2024-09-30,Bronze
C00545,Koramangala,2024-03-10,Bronze
C00546,HSR Layout,2024-08-25,Bronze
C00547,HSR Layout,2024-09-14,Bronze
C00548,Koramangala,2024-09-19,Silver
C00549,Rajajinagar,2023-10-28,Bronze
C00550,HSR Layout,2023-10-06,Silver
C00551,HSR Layout,2024-12-19,Bronze
C00552,Koramangala,2024-07-06,Gold
C00553,Indiranagar,2024-10-31,Bronze
C00554,Hebbal,2024-02-26,Bronze
C00555,Koramangala,2024-11-09,Silver
C00556,Indiranagar,2024-06-09,Bronze
C00557,Whitefield,2024-06-26,Bronze
C00558,Jayanagar,2023-05-10,Bronze
C00559,Electronic City,2024-02-18,Bronze
C00560,Jayanagar,2024-06-17,Bronze
C00561,Koramangala,2024-07-09,Bronze
C00562,Indiranagar,2024-11-30,Silver
C00563,Malleshwaram,2023-08-27,Silver
C00564,Electronic City,2023-08-09,Bronze
C00565,Electronic City,2024-12-08,Bronze
C00566,Marathahalli,2024-12-20,Silver
C00567,Rajajinagar,2023-05-12,Bronze
C00568,Koramangala,2023-10-04,Silver
C00569,Whitefield,2024-11-23,Gold
C00570,Jayanagar,2023-05-26,Silver
C00571,Whitefield,2024-07-25,Bronze
C00572,Malleshwaram,2023-03-23,Bronze
C00573,HSR Layout,2023-05-11,Bronze
C00574,Rajajinagar,2024-07-27,Bronze
C00575,Malleshwaram,2024-03-19,Silver
C00576,Jayanagar,2024-02-10,Bronze
C00577,Hebbal,2024-09-17,Silver
C00578,Electronic City,2023-08-13,Bronze
C00579,Malleshwaram,2024-01-03,Silver
C00580,Whitefield,2024-03-20,Bronze
C00581,Jayanagar,2024-06-24,Bronze
C00582,Jayanagar,2023-08-31,Bronze
C00583,Koramangala,2024-04-07,Bronze
C00584,HSR Layout,2023-11-24,Bronze
C00585,Hebbal,2024-01-31,Bronze
C00586,Electronic City,2024-09-21,Bronze
C00587,Indiranagar,2023-10-15,Bronze
C00588,Whitefield,2024-05-02,Bronze
C00589,Indiranagar,2024-11-18,Bronze
C00590,Koramangala,2024-07-10,Bronze
C00591,BTM Layout,2024-12-22,Gold
C00592,HSR Layout,2024-03-01,Gold
C00593,Whitefield,2023-07-25,Bronze
C00594,Electronic City,2024-12-24,Gold
C00595,Koramangala,2024-04-15,Silver
C00596,Indiranagar,2023-06-26,Bronze
C00597,Marathahalli,2023-08-20,Bronze
C00598,Electronic City,2023-07-11,Bronze
C00599,Yelahanka,2024-08-31,Silver
C00600,Electronic City,2023-03-09,Silver
C00601,HSR Layout,2024-06-24,Bronze
C00602,Rajajinagar,2024-02-09,Bronze
C00603,Hebbal,2023-02-23,Silver
C00604,Marathahalli,2024-03-23,Bronze
C00605,BTM Layout,2024-07-03,Bronze
C00606,Rajajinagar,2024-06-13,Gold
C00607,Hebbal,2024-01-21,Silver
C00608,Koramangala,2023-09-02,Silver
C00609,Marathahalli,2023-04-30,Bronze
C00610,HSR Layout,2023-01-09,Silver
C00611,Jayanagar,2023-09-20,Bronze
C00612,Electronic City,2024-04-06,Bronze
C00613,BTM Layout,2023-01-28,Bronze
C00614,Yelahanka,2024-12-30,Gold
C00615,Whitefield,2024-03-03,Gold
C00616,Marathahalli,2023-08-04,Silver
C00617,Marathahalli,2024-12-03,Gold
C00618,Whitefield,2023-05-15,Gold
C00619,Koramangala,2024-11-30,Silver
C00620,Koramangala,2023-07-25,Bronze
C00621,Rajajinagar,2023-10-05,Bronze
C00622,HSR Layout,2023-11-07,Bronze
C00623,Yelahanka,2024-12-27,Silver
C00624,HSR Layout,2023-07-03,Gold
C00625,Yelahanka,2024-12-11,Gold
C00626,HSR Layout,2023-09-11,Silver
