restaurant_id,zone,cuisines,rating,price_for_two,prep_time_min,lat,lon
R0036,BTM Layout,"Biryani, Italian, Pizza",4.4,350,30,12.920973092598015,77.60760526309826
R0037,Jayanagar,Italian,4.0,350,15,12.925202361991465,77.58864554421723
R0038,Malleshwaram,"North Indian, Biryani",4.1,500,19,13.008301485987904,77.5615402447949
R0039,Koramangala,Pizza,4.1,250,12,12.939886317987604,77.63955426973152
R0040,Indiranagar,"Desserts, Biryani, South Indian",3.6,500,12,13.00068525302876,77.65137620974855
R0041,BTM Layout,"Healthy, Korean",4.0,500,15,12.922842648781861,77.59849312642947
R0042,Whitefield,"South Indian, Pizza",4.1,700,17,12.976293286053691,77.76397451558053
R0043,Electronic City,"Burgers, Mexican",3.8,250,18,12.84014200216045,77.65845915497295
R0044,Yelahanka,"Chinese, North Indian",4.2,250,18,13.110768925637572,77.58897349374415
R0045,Jayanagar,"Continental, Rolls & Wraps",4.4,350,9,12.913517836316524,77.59027665135844
R0046,Whitefield,North Indian,3.8,150,17,12.971108047874955,77.74060043299382
R0047,Jayanagar,Healthy,3.0,150,25,12.95959940266937,77.57794947476701
R0048,Koramangala,"Continental, Chinese",4.0,150,12,12.905149720964245,77.6338135715861
R0049,Koramangala,"Desserts, South Indian",2.7,350,20,12.937997763956025,77.62185154169163
R0050,Koramangala,"Biryani, North Indian, Korean",4.0,500,22,12.938459475050546,77.63190651440374
R0051,Hebbal,"Desserts, Italian",2.3,250,19,13.033062931490154,77.60044655997355
R0052,Marathahalli,"Korean, South Indian",3.7,700,23,12.95444576886719,77.70768249333624
R0053,Whitefield,"Chinese, Mexican",3.4,500,12,12.970896917277937,77.72544815833511
R0054,Indiranagar,"North Indian, Italian",4.3,150,25,12.975375960694427,77.63039887700772
R0055,Marathahalli,"North Indian, Desserts",3.8,250,23,12.959563756745851,77.70793237706482
R0056,Hebbal,"North Indian, South Indian, Seafood",3.8,150,21,13.029948671530198,77.58170203167036
R0057,Whitefield,North Indian,4.0,700,27,12.994068713824964,77.75447678100575
R0058,Whitefield,"Rolls & Wraps, Burgers, Biryani",3.1,500,20,12.966775835080432,77.73331154503978
R0059,Malleshwaram,"Burgers, Healthy, Biryani",3.7,350,17,13.010335336891497,77.56979732780194
R0060,Hebbal,Chinese,4.4,350,27,13.027771566801881,77.61631988472723
R0061,Hebbal,Biryani,4.3,250,30,13.046997716364814,77.60629520138397
R0062,Whitefield,Italian,4.4,700,15,12.978601613448216,77.72779110863071
R0063,Koramangala,"Italian, North Indian",4.1,700,19,12.940231122838386,77.6346804568518
R0064,HSR Layout,South Indian,4.0,500,26,12.899271975725378,77.66926685872076
R0065,Whitefield,"Italian, Chinese",3.9,350,20,12.960771163513238,77.78356419212194
R0066,Hebbal,"North Indian, South Indian",4.3,150,23,13.056034075828954,77.60270090884961
R0067,Koramangala,"Biryani, Desserts",4.0,150,25,12.926038315507473,77.60812696091337
R0068,Electronic City,"Continental, North Indian",4.3,150,16,12.85289082604255,77.6654161357363
R0069,Hebbal,"Pizza, South Indian",4.2,350,22,13.024463944037825,77.6161524031801
R0070,Yelahanka,"Italian, Rolls & Wraps, Biryani",3.9,500,20,13.11280059882722,77.594054941843
R0071,Electronic City,South Indian,3.8,700,13,12.836963231710032,77.67271730707459
R0072,BTM Layout,"Biryani, North Indian, Healthy",3.9,250,14,12.905041745349521,77.60002476401347
R0073,Koramangala,Biryani,3.9,250,16,12.926651890279636,77.62896823903752
R0074,Whitefield,"Chinese, Biryani",4.3,150,25,12.963154368840067,77.72012504581795
R0075,Koramangala,Continental,4.0,700,26,12.94005608025909,77.61309597541796
R0076,Yelahanka,"Chinese, Biryani",4.4,500,24,13.101532604473654,77.59622655223262
R0077,Hebbal,Continental,4.1,350,22,13.022658127041046,77.59263971923308
R0078,Koramangala,Biryani,3.8,350,23,12.934864635834414,77.60889259006869
R0079,Koramangala,"South Indian, Biryani, North Indian",4.4,350,21,12.921477983112506,77.61850412562298
R0080,Whitefield,"Chinese, Continental",3.8,250,23,12.977522688380011,77.75395586058161
R0081,Indiranagar,North Indian,3.2,250,24,12.98832283478647,77.63976526895468
R0082,Malleshwaram,"Healthy, Pizza",4.3,250,11,13.003212631937409,77.57033125083845
R0083,Indiranagar,"South Indian, Burgers",4.0,250,15,12.981659840835913,77.64958362563702
R0084,Rajajinagar,South Indian,4.4,350,13,13.012625489327974,77.54838204759119
R0085,Jayanagar,"Pizza, South Indian, North Indian",4.5,250,26,12.923108764091296,77.61011013459662
R0086,Whitefield,"North Indian, South Indian, Chinese",4.1,350,30,12.958468904599389,77.73812874720679
R0087,Koramangala,Seafood,4.1,350,8,12.942150342831253,77.64763603063672
R0088,Yelahanka,Biryani,4.3,350,29,13.087108154810815,77.60965646356593
R0089,Electronic City,"Biryani, Pizza",3.9,700,21,12.842673172440724,77.65592802663386
R0090,HSR Layout,"Biryani, Burgers",4.3,250,25,12.904412119446997,77.64392817554923
R0091,Whitefield,"Pizza, Desserts",4.6,350,22,12.961378162001493,77.75248082709935
R0092,Hebbal,Burgers,4.0,150,29,13.032798948852266,77.60418405115846
R0093,Malleshwaram,"Chinese, Rolls & Wraps",4.1,500,21,13.01429869591457,77.5827345793028
R0094,Malleshwaram,South Indian,4.5,350,11,13.016768025459891,77.55351290502381
R0095,Electronic City,"South Indian, Italian",4.6,250,18,12.856314470357088,77.66544931146474
R0096,Hebbal,Rolls & Wraps,4.3,150,22,13.039836249069541,77.57160182897044
R0097,Whitefield,Pizza,4.2,350,18,12.966707401263347,77.74787239416997
R0098,Marathahalli,"Burgers, Continental",4.2,350,23,12.9286061000552,77.71854695004545
R0099,HSR Layout,"Italian, Continental",3.7,350,20,12.916011931919327,77.63038869161338
R0100,Electronic City,North Indian,3.6,250,17,12.817848019302893,77.64100914656763
R0101,Yelahanka,Burgers,4.7,350,12,13.077619592682323,77.59894954119457
R0102,Yelahanka,Biryani,4.1,350,17,13.098759988130556,77.61294914997008
R0103,Jayanagar,Biryani,4.4,250,20,12.928174926935567,77.59770474541303
R0104,Electronic City,Healthy,4.3,350,8,12.839786981154049,77.63734458523743
R0105,Hebbal,South Indian,4.2,350,15,13.054226373783127,77.57680245904344
R0106,Yelahanka,Mexican,4.3,500,8,13.106245219890221,77.59747295719515
R0107,Rajajinagar,"Biryani, North Indian",3.9,250,16,12.988607105118456,77.53834909096845
R0108,Koramangala,"Italian, North Indian",4.3,250,27,12.951835719342181,77.62614023552686
R0109,Whitefield,"Burgers, Italian",3.8,700,13,12.988581360170768,77.75235194135921
R0110,Hebbal,Biryani,4.0,500,24,13.041950704321696,77.5911229098721
R0111,Rajajinagar,Chinese,4.4,250,36,12.98229690808291,77.57427705152737
R0112,Marathahalli,"Burgers, Italian, South Indian",2.8,700,31,12.950296754827738,77.70818560645921
R0113,Marathahalli,"South Indian, North Indian",3.9,150,21,12.939539135444079,77.71563909054552
R0114,HSR Layout,"Burgers, North Indian",3.6,500,26,12.911090997442393,77.65844698109926
R0115,HSR Layout,Burgers,3.8,250,12,12.898999502702665,77.64559911725661
R0116,Rajajinagar,"Burgers, South Indian",4.3,250,10,12.987651102769641,77.55016663298392
R0117,Whitefield,"Korean, Biryani",3.4,700,21,12.972927203636662,77.74642855955805
R0118,Marathahalli,Burgers,4.2,150,22,12.933095496295952,77.70927322703
R0119,Marathahalli,North Indian,3.8,500,27,12.941735104777745,77.69329561787153
R0120,Malleshwaram,Rolls & Wraps,3.9,350,17,12.997417823341976,77.59030039530441
R0121,Whitefield,Rolls & Wraps,3.7,150,22,12.96916967157532,77.74104956835593
R0122,Marathahalli,Biryani,4.0,700,21,12.950973310403143,77.70367370086755
R0123,Koramangala,Burgers,4.1,350,19,12.931953784823364,77.62175103025545
R0124,Koramangala,Mexican,4.4,500,19,12.926725753646494,77.61909048022736
R0125,HSR Layout,Italian,3.7,500,16,12.894207201898297,77.67346816222957
R0126,Koramangala,North Indian,4.2,150,21,12.9287829906713,77.61923134790305
R0127,BTM Layout,Seafood,4.0,250,21,12.914041977700837,77.6064433458281
R0128,Hebbal,Chinese,4.1,250,17,13.032075318756725,77.58903039681853
R0129,Koramangala,Chinese,3.9,350,24,12.936541551025558,77.62499248738827
R0130,Malleshwaram,"South Indian, Mexican",4.2,150,26,13.008526734845702,77.56838432359189
R0131,Jayanagar,"Chinese, Continental",3.5,250,25,12.933180714722761,77.58036896243155
R0132,Marathahalli,"North Indian, Chinese, South Indian",4.3,500,13,12.949297389973863,77.69600756162782
R0133,Hebbal,Mexican,3.2,250,22,13.016890438352963,77.6043162385134
R0134,Electronic City,"Italian, Chinese",4.1,350,14,12.860459156388744,77.67252384219307
R0135,Koramangala,Cafe,4.7,350,19,12.939825350987332,77.62478800735559
R0136,Koramangala,"North Indian, Burgers, Italian",4.3,150,14,12.923744051785913,77.62520793748783
R0137,Jayanagar,"Biryani, Rolls & Wraps",3.9,250,28,12.92833246067791,77.58946805913882
R0138,BTM Layout,Chinese,4.5,150,24,12.929415936799218,77.60407069957651
R0139,Electronic City,"South Indian, North Indian, Pizza",4.1,350,27,12.865950118302873,77.64916512364141
R0140,Whitefield,"Burgers, Desserts",3.9,150,27,12.972807323313893,77.73132020654913
R0141,Koramangala,"North Indian, Biryani",4.0,500,18,12.947916047648198,77.61607063991072
R0142,Hebbal,"Rolls & Wraps, South Indian",4.4,500,17,13.021284775132223,77.60784863440809
R0143,Whitefield,Desserts,4.3,150,30,12.969369166980838,77.74490699668763
R0144,Marathahalli,North Indian,3.9,500,19,12.952879848208923,77.69694777579566
R0145,Marathahalli,"Biryani, Chinese",4.3,700,11,12.96101083822045,77.69671417760343
R0146,Indiranagar,North Indian,4.1,150,26,12.997734327225235,77.65573649199
R0147,Koramangala,"Mexican, South Indian",4.1,700,21,12.938198672731351,77.61335940915362
R0148,Whitefield,South Indian,4.1,250,29,12.958547711128796,77.75332464006068
R0149,Whitefield,Chinese,4.5,350,21,12.954638737041392,77.74917840639716
R0150,Marathahalli,South Indian,3.8,250,20,12.976649360753047,77.70191512190114
R0151,Malleshwaram,Mexican,3.9,500,29,13.009665520948623,77.57253220488539
R0152,Indiranagar,North Indian,4.0,500,11,12.983776976163702,77.64148597928322
R0153,Jayanagar,North Indian,3.9,700,17,12.920875223337303,77.60331626263981
R0154,Koramangala,Pizza,4.4,700,14,12.938414341416014,77.62414891206444
R0155,Indiranagar,Desserts,3.1,150,9,12.96655648112648,77.6617325167211
R0156,Rajajinagar,"North Indian, Chinese",4.7,350,24,12.996246380268444,77.55303375926759
R0157,Rajajinagar,Biryani,4.2,250,16,12.977501558361112,77.53205839740879
R0158,Rajajinagar,Desserts,3.6,150,26,12.987288538659667,77.56015972429772
R0159,Koramangala,Pizza,4.0,150,22,12.927485282216088,77.62920516166311
R0160,Jayanagar,"Biryani, Korean",4.1,700,24,12.885911588288002,77.59419054038115
R0161,HSR Layout,"Chinese, North Indian, Italian",4.1,350,17,12.9074387764816,77.64428514421255
R0162,Yelahanka,Chinese,4.3,150,15,13.089913602906444,77.57092457120248
R0163,Electronic City,Desserts,3.9,700,21,12.84267532139331,77.63683787125281
R0164,BTM Layout,Biryani,4.2,500,25,12.916620673605783,77.62987023064598
R0165,Koramangala,Desserts,4.0,250,20,12.956415183315778,77.61747396876281
R0166,HSR Layout,"North Indian, Burgers",2.9,350,18,12.91525650796589,77.65898744513063
R0167,Rajajinagar,Pizza,3.9,350,13,12.995609351595803,77.53326360072111
R0168,Whitefield,"Italian, Pizza",3.9,350,21,12.975747366022631,77.73743770045559
R0169,Electronic City,"Desserts, Biryani",4.5,350,16,12.855661702146893,77.66834369136258
R0170,Jayanagar,"Italian, Desserts",4.0,350,20,12.930451353446255,77.59256998757162
R0171,Yelahanka,"North Indian, South Indian",4.2,150,18,13.10408055629309,77.60275200606387
R0172,Indiranagar,South Indian,4.0,350,17,12.986934963022758,77.64063640920884
R0173,BTM Layout,South Indian,4.0,250,22,12.887480386950028,77.60760793643192
R0174,HSR Layout,"North Indian, South Indian",4.1,250,23,12.936668618999345,77.63923947406191
R0175,HSR Layout,"Italian, Healthy",4.4,250,31,12.930676758136562,77.63307196812885
R0176,Jayanagar,"Biryani, North Indian, Seafood",3.8,350,25,12.927605629022311,77.61063241547679
R0177,Indiranagar,"Pizza, Burgers",4.2,250,29,12.961443922595095,77.65960770927356
R0178,BTM Layout,Italian,4.7,250,14,12.931124205189915,77.59763556454307
R0179,Hebbal,"Rolls & Wraps, South Indian",4.5,250,9,13.027473482011224,77.58375105077592
R0180,Yelahanka,"South Indian, Continental",4.3,700,19,13.107106092198899,77.59212672229093
R0181,Yelahanka,Pizza,4.3,250,25,13.085305132778574,77.60038522017835
R0182,Marathahalli,Biryani,4.3,250,24,12.983616882787677,77.69891818150451
R0183,HSR Layout,"Chinese, Healthy",4.2,250,27,12.894293398854696,77.65339424078297
R0184,Malleshwaram,"Rolls & Wraps, Chinese",4.6,350,8,13.0043278328438,77.56900901262865
R0185,Koramangala,"Biryani, Italian",3.8,250,28,12.909733753425861,77.62312442630261
R0186,Malleshwaram,"North Indian, Italian",3.7,250,23,13.003005330573645,77.59855694484123
R0187,Jayanagar,Chinese,4.5,500,10,12.919896577538342,77.58749756098086
R0188,Marathahalli,South Indian,3.9,500,24,12.97054620072687,77.7207793627139
R0189,Whitefield,"Biryani, North Indian",4.3,350,21,12.964695446820897,77.76736235681217
R0190,Whitefield,"Rolls & Wraps, Desserts",4.4,350,21,12.983463482994155,77.75604912207902
R0191,Koramangala,"Biryani, Continental, South Indian",3.9,700,26,12.922910553188936,77.6013864179626
R0192,HSR Layout,"Desserts, Rolls & Wraps",4.4,700,22,12.908216460763462,77.64777268988436
R0193,HSR Layout,Italian,3.3,350,13,12.908457054824954,77.64122366291126
R0194,Indiranagar,"Pizza, Rolls & Wraps",4.3,500,18,12.984347059067595,77.64104108829729
R0195,Indiranagar,"Pizza, Continental",4.3,500,10,12.982820493116884,77.62804439849134
R0196,Electronic City,Continental,4.1,700,24,12.853866701859081,77.6692750953886
R0197,Whitefield,Biryani,3.9,150,29,12.973001967239476,77.76181982032533
R0198,Malleshwaram,Biryani,4.0,700,13,13.011435777919358,77.5836402916248
R0199,Koramangala,North Indian,3.6,350,17,12.924425632855682,77.61991385540338
R0200,Electronic City,"Pizza, South Indian",4.3,350,14,12.849865584002576,77.64748689877544
R0201,Indiranagar,"South Indian, North Indian",4.4,250,16,12.997698471129349,77.64502017699765
R0202,Jayanagar,Biryani,4.4,250,22,12.90484008679135,77.61487289186579
R0203,Jayanagar,"Biryani, Desserts",4.2,500,17,12.930868095459628,77.59463267561536
R0204,Electronic City,"Desserts, Seafood",4.1,350,24,12.853321357335258,77.66562756503335
R0205,HSR Layout,South Indian,3.8,250,27,12.92913423652966,77.64458091864942
R0206,Jayanagar,Biryani,3.4,350,28,12.933712563199483,77.58775835752925
R0207,Indiranagar,South Indian,3.2,150,15,12.979603791305905,77.64869931126326
R0208,HSR Layout,"Continental, South Indian",4.3,350,28,12.916760878346121,77.64612719879194
R0209,Whitefield,South Indian,3.5,350,30,12.960979545985262,77.75484227493835
R0210,Marathahalli,Rolls & Wraps,4.0,350,29,12.952244383131706,77.70719008228733
R0211,HSR Layout,"North Indian, Mexican",3.8,150,19,12.895571565923577,77.65157020206968
R0212,Rajajinagar,Italian,4.1,150,15,13.00944435417213,77.55919426383265
R0213,HSR Layout,Burgers,3.8,250,14,12.91700188782741,77.63716393120689
R0214,Indiranagar,Rolls & Wraps,3.6,350,14,12.967406650476105,77.62983164772383
R0215,Indiranagar,Desserts,4.1,700,20,12.981656283551951,77.64028854072072
R0216,Koramangala,Chinese,4.3,500,24,12.949112172519932,77.62427726415686
R0217,Jayanagar,"Pizza, South Indian",3.3,500,29,12.936913507905453,77.58753212607937
R0218,Malleshwaram,Pizza,3.9,250,17,12.992368336642004,77.57249200355697
R0219,Rajajinagar,"Burgers, North Indian, Mexican",4.1,150,20,12.953993934209446,77.56339860917001
R0220,HSR Layout,North Indian,3.5,500,20,12.916344633018756,77.66165014248985
R0221,Indiranagar,"Desserts, North Indian",4.3,350,16,12.967757564417942,77.65774714247176
R0222,Hebbal,"Pizza, South Indian",3.8,150,25,13.043267930071766,77.58122238004331
R0223,Koramangala,North Indian,3.8,350,23,12.946603244660034,77.6105440171155
R0224,HSR Layout,Chinese,3.8,350,21,12.92496359733396,77.6439242552787
R0225,Malleshwaram,South Indian,4.3,250,22,13.024436885831744,77.57056343849209
R0226,HSR Layout,Rolls & Wraps,4.3,150,23,12.926436283016928,77.64453898395372
R0227,Koramangala,"Chinese, Continental",4.1,350,23,12.956194585945408,77.6178683280378
R0228,Indiranagar,Italian,4.1,150,15,12.994948724118824,77.63714698111762
R0229,Electronic City,"Italian, South Indian",3.4,250,27,12.862794610888265,77.66599976586919
R0230,Koramangala,Biryani,3.9,500,22,12.934709582328427,77.6085445306385
R0231,Electronic City,"Italian, South Indian",4.5,700,16,12.829728082825211,77.68832028607105
R0232,HSR Layout,South Indian,4.0,250,21,12.94138724305379,77.64765192252062
R0233,Whitefield,"Pizza, Italian",4.1,150,22,12.970555435222591,77.76261016873075
R0234,Indiranagar,"North Indian, Chinese",3.9,350,27,12.993144496767691,77.63383994126042
R0235,Malleshwaram,Mexican,3.5,250,15,12.99689670202771,77.57649219511029
R0236,HSR Layout,"Continental, Chinese",4.0,500,28,12.923167069310548,77.64860109287395
R0237,Marathahalli,Biryani,4.3,350,20,12.92756044009952,77.71138170072666
R0238,HSR Layout,South Indian,4.2,250,17,12.906674679307988,77.64501623698612
R0239,Koramangala,"Desserts, Continental, South Indian",3.7,500,17,12.934019066999292,77.64311876280507
R0240,HSR Layout,Italian,4.1,250,14,12.917151305219662,77.62949532983016
R0241,Jayanagar,"North Indian, Desserts, Healthy",4.2,350,9,12.937864296119214,77.60519248596238
R0242,HSR Layout,"North Indian, Pizza",4.3,700,23,12.898470284940435,77.6488246370664
R0243,Malleshwaram,South Indian,4.0,250,32,13.011419618267043,77.55738007961952
R0244,Hebbal,Biryani,4.7,250,9,13.05052000371964,77.62042479044057
R0245,Rajajinagar,Continental,4.2,500,14,13.01975093899305,77.5746843727188
R0246,Electronic City,Chinese,4.1,350,24,12.85367953580605,77.63531355106213
R0247,Jayanagar,"Burgers, North Indian",4.3,250,19,12.919485928222226,77.59592141264815
R0248,Electronic City,"South Indian, Chinese",4.4,150,24,12.8299388241147,77.66866795065677
R0249,Whitefield,"Biryani, Chinese",4.5,250,18,12.991750427574383,77.75530045769982
R0250,Malleshwaram,Biryani,4.1,350,16,13.012348103227117,77.58778635529933
R0251,Malleshwaram,Korean,4.0,250,19,13.003236292421038,77.58529159249017
R0252,Indiranagar,Rolls & Wraps,3.9,250,8,12.958962180469339,77.6439822482758
R0253,Hebbal,Healthy,4.4,250,12,13.024625792589223,77.62432524334893
R0254,Malleshwaram,Chinese,4.3,350,25,13.011075843465289,77.58084215827249
R0255,HSR Layout,North Indian,4.3,500,27,12.91584599628951,77.64318302605787
R0256,Hebbal,"Pizza, Burgers, Biryani",3.8,350,29,13.012444021292403,77.59037182886206
R0257,Koramangala,"Burgers, Healthy",4.2,350,22,12.942791350678021,77.63942009803569
R0258,Koramangala,"Pizza, Chinese",4.3,500,8,12.91637876262136,77.61498454928163
R0259,Whitefield,"North Indian, Chinese, Rolls & Wraps",4.6,250,15,12.986048108823226,77.7450831406465
R0260,Jayanagar,South Indian,3.6,250,29,12.92750267097886,77.59092513730255
R0261,Whitefield,Italian,4.1,150,30,12.964238942615008,77.75426784071931
R0262,BTM Layout,"Healthy, Mexican, Seafood",4.0,250,28,12.928481852069329,77.60777849964447
R0263,Indiranagar,"Rolls & Wraps, South Indian",4.1,700,18,12.98264199146135,77.62499634924224
R0264,Whitefield,North Indian,4.3,250,12,12.98569913130206,77.7639449568559
R0265,Electronic City,Pizza,4.1,500,20,12.846165707360676,77.65534721621458
R0266,Koramangala,Biryani,4.4,150,19,12.936865832396869,77.64873922322559
R0267,Marathahalli,"North Indian, Italian",3.5,350,30,12.953476994808824,77.70474788008711
R0268,Whitefield,"Rolls & Wraps, Chinese",4.3,250,21,12.972955605713205,77.76520648981283
R0269,Yelahanka,"Healthy, Burgers, Italian",3.9,250,20,13.12107541055747,77.60387033817017
R0270,Marathahalli,"Healthy, Chinese",4.6,250,19,12.950866829959267,77.71688067525747
R0271,Koramangala,"Rolls & Wraps, Mexican, Pizza",4.0,350,22,12.942975461791967,77.63134406795517
R0272,Koramangala,Desserts,4.1,350,24,12.924634677003905,77.6273220260079
R0273,Koramangala,"North Indian, Italian",4.2,500,15,12.910399214587859,77.63761880910228
R0274,BTM Layout,"Italian, Rolls & Wraps, Mexican",4.3,500,13,12.919089504884441,77.6399316653751
R0275,Marathahalli,Rolls & Wraps,4.3,350,28,12.961344865081632,77.69786243673674
R0276,HSR Layout,"Chinese, North Indian",4.4,700,9,12.91027938476669,77.65693912385271
R0277,Indiranagar,North Indian,3.5,150,31,12.960448180350733,77.64073706092988
R0278,Hebbal,Biryani,3.6,250,9,13.0394516128957,77.6030727082459
R0279,Indiranagar,North Indian,3.9,250,17,12.981595763609674,77.64130590269092
R0280,Marathahalli,Italian,4.3,350,25,12.946234632426888,77.67520708537147
R0281,Rajajinagar,"Italian, North Indian, Biryani",2.8,350,22,12.975358101142323,77.55009775938714
R0282,Whitefield,"Desserts, Healthy, Korean",4.4,350,11,12.966771344867528,77.7619946608737
R0283,Jayanagar,"Cafe, North Indian",3.9,500,23,12.932835150961333,77.58461752052078
R0284,Indiranagar,"Rolls & Wraps, Korean",3.5,250,21,12.983399856781505,77.65185135731686
R0285,Whitefield,Desserts,4.4,500,18,12.95922995602599,77.75220330997269
R0286,BTM Layout,Biryani,4.5,350,15,12.918243101020265,77.60780211362976
R0287,Marathahalli,Biryani,4.2,350,19,12.967545516865705,77.71196978462339
R0288,Malleshwaram,"Chinese, South Indian",4.3,250,16,12.9894280114888,77.57777237852277
R0289,Jayanagar,Burgers,3.1,250,36,12.92575786441652,77.59884656485438
R0290,Indiranagar,"Pizza, North Indian",3.3,250,20,12.994475691762052,77.65299080243337
R0291,Marathahalli,"Burgers, North Indian",4.2,500,17,12.941600814136473,77.70353717983507
R0292,Jayanagar,Mexican,4.4,350,16,12.938866315492595,77.57406400760414
R0293,Indiranagar,North Indian,4.4,250,30,12.997830249427869,77.63626254952241
R0294,HSR Layout,North Indian,4.1,500,10,12.90893353369795,77.62574717092664
R0295,Electronic City,South Indian,4.0,350,22,12.841083896571805,77.6680883779145
R0296,Marathahalli,"Biryani, Italian",4.1,700,18,12.969297133028235,77.71185439807151
R0297,Indiranagar,"Biryani, North Indian",3.6,350,12,12.976166435499646,77.65210042690559
R0298,Hebbal,South Indian,4.2,350,15,13.007562479591659,77.60286913639075
R0299,Whitefield,"Mexican, Chinese",4.2,350,22,12.968614464863725,77.76161510155268
R0300,Indiranagar,"Seafood, Chinese",4.2,350,14,12.984044847618335,77.6218807599408
R0301,Indiranagar,Mexican,4.3,250,21,12.98728100624299,77.63950919693846
R0302,Rajajinagar,"Pizza, South Indian",4.1,150,30,12.981032450022976,77.5355210081343
R0303,Whitefield,Healthy,4.4,700,20,12.966562386566329,77.74570004464633
R0304,HSR Layout,Seafood,4.0,350,11,12.923322887169828,77.6667950208312
R0305,Indiranagar,Mexican,3.9,350,15,12.97768001654304,77.65391884618826
R0306,Marathahalli,Italian,4.1,350,18,12.938555144072469,77.7090474248777
R0307,Rajajinagar,"South Indian, Biryani",4.2,350,18,13.006451656115445,77.55032055725678
R0308,Whitefield,"Rolls & Wraps, Biryani",3.6,150,22,12.967230667731473,77.73807686258665
R0309,BTM Layout,"Rolls & Wraps, Chinese, Continental",3.1,250,24,12.929694625326178,77.61234433220541
R0310,Koramangala,Biryani,4.0,150,30,12.918454519649602,77.63782810998187
R0311,Koramangala,Burgers,3.6,150,21,12.933748159028932,77.62941845787111
R0312,Electronic City,Pizza,4.6,150,12,12.851316832284127,77.64117171052979
R0313,Marathahalli,Biryani,4.6,500,26,12.955854261661987,77.70235533076539
R0314,Indiranagar,Pizza,3.7,250,28,12.964203925572148,77.6178400616952
R0315,Jayanagar,Burgers,3.2,500,23,12.896358360317878,77.60345020599728
R0316,Whitefield,South Indian,4.4,500,18,12.98807918155404,77.7416839070232
R0317,Jayanagar,Continental,4.3,250,23,12.927976458422817,77.57912254320176
R0318,Electronic City,Burgers,3.7,350,19,12.859201612633495,77.67001516795278
R0319,Yelahanka,Pizza,4.2,350,8,13.111844029192325,77.6030125340462
R0320,HSR Layout,Italian,4.2,700,23,12.918762161913435,77.65018878754897
R0321,Electronic City,North Indian,3.9,350,26,12.841343951738235,77.68650049536582
R0322,Electronic City,Chinese,2.5,250,32,12.85107720310767,77.66781999803507
